#deltat w1 w2 w3 s1 s2 s3
0.9 -1.55901 0.386573 1.94998 7.86784 11.6104 15.8724
0.91 -1.44246 0.551255 1.98782 8.05983 12.0088 16.0058
0.92 -1.4547 0.561138 1.92755 8.04656 12.0421 15.8266
0.93 -1.37299 0.514765 2.01283 8.18569 11.9405 16.1118
0.94 -1.43624 0.412464 1.91888 8.08926 11.7081 15.8245
0.95 -1.43137 0.495977 1.90562 8.10363 11.9148 15.7953
0.96 -1.58222 0.563561 1.90477 7.86908 12.0866 15.8052
0.97 -1.55758 0.677911 2.04413 7.91428 12.3761 16.2649
0.98 -1.61279 0.535934 1.98563 7.83363 12.0392 16.0886
0.99 -1.50768 0.547369 2.00722 8.00646 12.0765 16.1712
1 -1.59009 0.662949 2.29102 7.88189 12.3688 17.1293
1.01 -1.57209 0.732149 2.26065 7.91665 12.5512 17.0392
1.02 -1.83729 0.83266 2.17007 7.51369 12.8163 16.7467
1.03 -1.9379 0.701145 2.22449 7.36991 12.4936 16.9435
1.04 -2.03195 0.757281 2.2285 7.23837 12.6447 16.9706
1.05 -2.17727 0.695136 2.20314 7.03664 12.4985 16.8983
1.06 -2.14229 0.733915 2.11872 7.09171 12.6059 16.6287
1.07 -2.09708 0.722082 2.12957 7.16186 12.5862 16.6781
1.08 -2.08448 0.868879 1.97434 7.18568 12.9716 16.1812
1.09 -2.08121 0.863275 1.74821 7.19612 12.9674 15.4781
1.1 -2.18192 0.884364 1.64086 7.05828 13.0327 15.1615
1.11 -2.17455 0.903434 1.58281 7.07434 13.0929 14.9984
1.12 -1.94586 0.971245 1.50052 7.41136 13.2823 14.7654
1.13 -2.05905 0.845171 1.60627 7.25126 12.962 15.0931
1.14 -1.83423 0.832309 1.71513 7.59082 12.939 15.4377
1.15 -1.77872 0.969807 1.85582 7.68171 13.3104 15.8909
1.16 -1.80184 1.03808 1.85776 7.65238 13.5042 15.9098
1.17 -1.82924 1.17172 1.85649 7.61666 13.8811 15.9185
1.18 -1.79869 1.1143 1.98253 7.66947 13.7336 16.338
1.19 -1.81377 1.13851 2.04677 7.65248 13.8113 16.5625
1.2 -1.95921 1.24636 1.97001 7.43906 14.1237 16.3232
1.21 -1.96687 1.333 1.88518 7.4336 14.3821 16.0614
1.22 -2.00921 1.24319 1.89238 7.37683 14.1374 16.0975
